invoice_no,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount,date,day,month,year,month/year,quarter,week
I198015,Female,34,Clothing,5,1500.4,Credit Card,2/6/2021,Metrocity,7502.0,2021-06-02,2,6,2021,2021-06,2,22
I108858,Male,19,Cosmetics,2,81.32,Cash,25/01/2022,Cevahir AVM,162.64,2022-01-25,25,1,2022,2022-01,1,4
I820516,Female,34,Cosmetics,5,203.3,Debit Card,31/03/2022,Mall of Istanbul,1016.5,2022-03-31,31,3,2022,2022-03,1,13
I876996,Male,55,Cosmetics,3,121.98,Cash,28/10/2022,Istinye Park,365.94,2022-10-28,28,10,2022,2022-10,4,43
I333633,Male,23,Souvenir,5,58.65,Cash,23/07/2022,Istinye Park,293.25,2022-07-23,23,7,2022,2022-07,3,29
I243832,Male,41,Food & Beverage,4,20.92,Cash,23/01/2021,Mall of Istanbul,83.68,2021-01-23,23,1,2021,2021-01,1,3
I639720,Female,25,Food & Beverage,1,5.23,Credit Card,14/06/2022,Kanyon,5.23,2022-06-14,14,6,2022,2022-06,2,24
I183506,Female,42,Toys,5,179.2,Cash,21/12/2022,Metrocity,896.0,2022-12-21,21,12,2022,2022-12,4,51
I385465,Female,51,Cosmetics,4,162.64,Credit Card,29/07/2021,Istinye Park,650.56,2021-07-29,29,7,2021,2021-07,3,30
I145284,Female,38,Food & Beverage,1,5.23,Cash,17/08/2021,Forum Istanbul,5.23,2021-08-17,17,8,2021,2021-08,3,33
I155473,Female,46,Cosmetics,1,40.66,Cash,17/08/2021,Kanyon,40.66,2021-08-17,17,8,2021,2021-08,3,33
I162912,Female,35,Clothing,3,900.24,Cash,9/1/2023,Mall of Istanbul,2700.7200000000003,2023-01-09,9,1,2023,2023-01,1,2
I308989,Female,66,Cosmetics,1,40.66,Credit Card,11/10/2022,Mall of Istanbul,40.66,2022-10-11,11,10,2022,2022-10,4,41
I250064,Female,53,Cosmetics,5,203.3,Debit Card,3/11/2022,Istinye Park,1016.5,2022-11-03,3,11,2022,2022-11,4,44
I125152,Male,57,Clothing,4,1200.32,Cash,14/04/2021,Cevahir AVM,4801.28,2021-04-14,14,4,2021,2021-04,2,15
I301383,Female,35,Clothing,3,900.24,Credit Card,10/1/2022,Emaar Square Mall,2700.7200000000003,2022-01-10,10,1,2022,2022-01,1,2
I280042,Female,28,Cosmetics,3,121.98,Cash,6/11/2022,Emaar Square Mall,365.94,2022-11-06,6,11,2022,2022-11,4,44
I294702,Female,26,Toys,5,179.2,Cash,14/11/2022,Istinye Park,896.0,2022-11-14,14,11,2022,2022-11,4,46
I139501,Male,18,Clothing,2,600.16,Debit Card,9/6/2022,Kanyon,1200.32,2022-06-09,9,6,2022,2022-06,2,23
I264189,Female,19,Shoes,3,1800.51,Credit Card,28/10/2022,Cevahir AVM,5401.53,2022-10-28,28,10,2022,2022-10,4,43
I188710,Male,39,Clothing,4,1200.32,Cash,28/06/2022,Viaport Outlet,4801.28,2022-06-28,28,6,2022,2022-06,2,26
I252044,Male,36,Clothing,4,1200.32,Credit Card,16/02/2021,Metropol AVM,4801.28,2021-02-16,16,2,2021,2021-02,1,7
I152823,Female,53,Shoes,1,600.17,Credit Card,21/07/2022,Emaar Square Mall,600.17,2022-07-21,21,7,2022,2022-07,3,29
I625389,Female,55,Clothing,4,1200.32,Credit Card,7/11/2021,Metrocity,4801.28,2021-11-07,7,11,2021,2021-11,4,44
I207900,Male,61,Clothing,2,600.16,Cash,28/06/2022,Mall of Istanbul,1200.32,2022-06-28,28,6,2022,2022-06,2,26
I336761,Male,64,Technology,3,3150.0,Credit Card,30/10/2021,Metropol AVM,9450.0,2021-10-30,30,10,2021,2021-10,4,43
I364887,Male,68,Food & Beverage,5,26.15,Credit Card,22/09/2021,Kanyon,130.75,2021-09-22,22,9,2021,2021-09,3,38
I856041,Male,56,Clothing,2,600.16,Cash,11/1/2021,Viaport Outlet,1200.32,2021-01-11,11,1,2021,2021-01,1,2
I236927,Female,60,Clothing,3,900.24,Debit Card,6/1/2023,Zorlu Center,2700.7200000000003,2023-01-06,6,1,2023,2023-01,1,1
I129071,Female,20,Clothing,5,1500.4,Cash,28/07/2022,Emaar Square Mall,7502.0,2022-07-28,28,7,2022,2022-07,3,30
I275898,Male,39,Cosmetics,4,162.64,Debit Card,12/11/2022,Mall of Istanbul,650.56,2022-11-12,12,11,2022,2022-11,4,45
I183598,Male,57,Clothing,2,600.16,Debit Card,9/10/2022,Metrocity,1200.32,2022-10-09,9,10,2022,2022-10,4,40
I185479,Male,21,Toys,3,107.52,Credit Card,25/07/2021,Cevahir AVM,322.56,2021-07-25,25,7,2021,2021-07,3,29
I269170,Female,18,Food & Beverage,3,15.69,Cash,24/06/2021,Metrocity,47.07,2021-06-24,24,6,2021,2021-06,2,25
I744066,Female,27,Clothing,1,300.08,Cash,26/04/2021,Kanyon,300.08,2021-04-26,26,4,2021,2021-04,2,17
I330030,Male,22,Toys,1,35.84,Cash,21/07/2022,Metropol AVM,35.84,2022-07-21,21,7,2022,2022-07,3,29
I335026,Female,26,Clothing,1,300.08,Cash,4/8/2022,Mall of Istanbul,300.08,2022-08-04,4,8,2022,2022-08,3,31
I264431,Male,26,Souvenir,2,23.46,Debit Card,29/04/2022,Emaar Square Mall,46.92,2022-04-29,29,4,2022,2022-04,2,17
I278817,Female,26,Clothing,2,600.16,Cash,7/3/2023,Istinye Park,1200.32,2023-03-07,7,3,2023,2023-03,1,10
I111982,Male,43,Souvenir,1,11.73,Cash,22/08/2021,Kanyon,11.73,2021-08-22,22,8,2021,2021-08,3,33
I639329,Female,35,Clothing,1,300.08,Debit Card,18/04/2021,Cevahir AVM,300.08,2021-04-18,18,4,2021,2021-04,2,15
I292818,Female,18,Food & Beverage,2,10.46,Credit Card,21/03/2022,Mall of Istanbul,20.92,2022-03-21,21,3,2022,2022-03,1,12
I334241,Female,57,Food & Beverage,3,15.69,Credit Card,27/04/2022,Mall of Istanbul,47.07,2022-04-27,27,4,2022,2022-04,2,17
I238334,Male,46,Clothing,4,1200.32,Cash,4/1/2022,Mall of Istanbul,4801.28,2022-01-04,4,1,2022,2022-01,1,1
I758208,Female,28,Clothing,2,600.16,Cash,26/04/2022,Istinye Park,1200.32,2022-04-26,26,4,2022,2022-04,2,17
I111158,Female,52,Clothing,5,1500.4,Credit Card,21/03/2021,Mall of Istanbul,7502.0,2021-03-21,21,3,2021,2021-03,1,11
I696164,Male,29,Books,5,75.75,Credit Card,6/7/2021,Mall of Istanbul,378.75,2021-07-06,6,7,2021,2021-07,3,27
I141803,Female,30,Technology,4,4200.0,Cash,1/3/2021,Viaport Outlet,16800.0,2021-03-01,1,3,2021,2021-03,1,9
I113895,Female,43,Food & Beverage,2,10.46,Cash,5/5/2022,Metrocity,20.92,2022-05-05,5,5,2022,2022-05,2,18
I266697,Male,49,Clothing,4,1200.32,Credit Card,19/12/2021,Metrocity,4801.28,2021-12-19,19,12,2021,2021-12,4,50
I271960,Female,22,Shoes,5,3000.85,Cash,2/2/2023,Kanyon,15004.25,2023-02-02,2,2,2023,2023-02,1,5
I331094,Male,33,Food & Beverage,2,10.46,Debit Card,10/11/2022,Mall of Istanbul,20.92,2022-11-10,10,11,2022,2022-11,4,45
I149975,Male,64,Souvenir,2,23.46,Cash,28/08/2022,Kanyon,46.92,2022-08-28,28,8,2022,2022-08,3,34
I127989,Female,51,Shoes,4,2400.68,Debit Card,15/09/2022,Metropol AVM,9602.72,2022-09-15,15,9,2022,2022-09,3,37
I241539,Female,25,Souvenir,2,23.46,Debit Card,15/01/2021,Viaport Outlet,46.92,2021-01-15,15,1,2021,2021-01,1,2
I145418,Female,41,Toys,5,179.2,Credit Card,15/07/2021,Cevahir AVM,896.0,2021-07-15,15,7,2021,2021-07,3,28
I225428,Female,22,Toys,1,35.84,Cash,3/10/2022,Metropol AVM,35.84,2022-10-03,3,10,2022,2022-10,4,40
I207461,Female,60,Shoes,2,1200.34,Cash,22/05/2021,Istinye Park,2400.68,2021-05-22,22,5,2021,2021-05,2,20
I400049,Female,38,Technology,4,4200.0,Cash,5/1/2023,Metrocity,16800.0,2023-01-05,5,1,2023,2023-01,1,1
I827482,Female,63,Food & Beverage,3,15.69,Debit Card,21/06/2022,Metrocity,47.07,2022-06-21,21,6,2022,2022-06,2,25
I431680,Male,68,Clothing,4,1200.32,Cash,2/1/2023,Istinye Park,4801.28,2023-01-02,2,1,2023,2023-01,1,1
I323720,Female,67,Clothing,2,600.16,Credit Card,26/01/2021,Metropol AVM,1200.32,2021-01-26,26,1,2021,2021-01,1,4
I245610,Female,34,Food & Beverage,2,10.46,Credit Card,10/2/2021,Istinye Park,20.92,2021-02-10,10,2,2021,2021-02,1,6
I232505,Male,52,Clothing,2,600.16,Cash,1/7/2022,Istinye Park,1200.32,2022-07-01,1,7,2022,2022-07,3,26
I252998,Male,52,Clothing,1,300.08,Cash,1/1/2022,Metropol AVM,300.08,2022-01-01,1,1,2022,2022-01,1,52
I654526,Male,68,Clothing,4,1200.32,Credit Card,24/02/2023,Istinye Park,4801.28,2023-02-24,24,2,2023,2023-02,1,8
I897721,Female,49,Cosmetics,3,121.98,Cash,23/12/2021,Viaport Outlet,365.94,2021-12-23,23,12,2021,2021-12,4,51
I237501,Female,56,Clothing,4,1200.32,Credit Card,2/3/2021,Mall of Istanbul,4801.28,2021-03-02,2,3,2021,2021-03,1,9
I143276,Male,21,Clothing,4,1200.32,Cash,22/10/2021,Mall of Istanbul,4801.28,2021-10-22,22,10,2021,2021-10,4,42
I299813,Female,53,Food & Beverage,4,20.92,Debit Card,11/4/2022,Forum Istanbul,83.68,2022-04-11,11,4,2022,2022-04,2,15
I165468,Male,33,Food & Beverage,5,26.15,Credit Card,21/04/2021,Metropol AVM,130.75,2021-04-21,21,4,2021,2021-04,2,16
I251323,Male,40,Toys,3,107.52,Cash,6/2/2023,Mall of Istanbul,322.56,2023-02-06,6,2,2023,2023-02,1,6
I107679,Female,21,Clothing,2,600.16,Cash,10/4/2021,Forum Istanbul,1200.32,2021-04-10,10,4,2021,2021-04,2,14
I710506,Female,49,Clothing,1,300.08,Credit Card,4/9/2022,Istinye Park,300.08,2022-09-04,4,9,2022,2022-09,3,35
I508875,Male,21,Toys,3,107.52,Debit Card,16/03/2021,Kanyon,322.56,2021-03-16,16,3,2021,2021-03,1,11
I298806,Male,56,Clothing,4,1200.32,Credit Card,20/08/2022,Forum Istanbul,4801.28,2022-08-20,20,8,2022,2022-08,3,33
I774775,Female,53,Clothing,4,1200.32,Cash,22/11/2021,Istinye Park,4801.28,2021-11-22,22,11,2021,2021-11,4,47
I193203,Male,40,Cosmetics,4,162.64,Cash,3/3/2021,Mall of Istanbul,650.56,2021-03-03,3,3,2021,2021-03,1,9
I310412,Male,54,Toys,3,107.52,Credit Card,4/8/2022,Cevahir AVM,322.56,2022-08-04,4,8,2022,2022-08,3,31
I271485,Female,58,Clothing,3,900.24,Cash,26/10/2022,Metrocity,2700.7200000000003,2022-10-26,26,10,2022,2022-10,4,43
I199702,Male,36,Toys,3,107.52,Credit Card,1/8/2021,Mall of Istanbul,322.56,2021-08-01,1,8,2021,2021-08,3,30
I263476,Male,27,Shoes,1,600.17,Cash,2/8/2021,Mall of Istanbul,600.17,2021-08-02,2,8,2021,2021-08,3,31
I221069,Male,57,Clothing,1,300.08,Debit Card,11/9/2022,Istinye Park,300.08,2022-09-11,11,9,2022,2022-09,3,36
I246183,Female,52,Clothing,1,300.08,Cash,1/1/2023,Mall of Istanbul,300.08,2023-01-01,1,1,2023,2023-01,1,52
I707891,Female,58,Souvenir,3,35.19,Cash,8/8/2021,Metrocity,105.57,2021-08-08,8,8,2021,2021-08,3,31
I230129,Male,51,Toys,4,143.36,Credit Card,16/01/2022,Forum Istanbul,573.44,2022-01-16,16,1,2022,2022-01,1,2
I540016,Female,31,Food & Beverage,5,26.15,Credit Card,17/09/2021,Mall of Istanbul,130.75,2021-09-17,17,9,2021,2021-09,3,37
I322440,Male,37,Books,3,45.45,Cash,13/12/2022,Emaar Square Mall,136.35000000000002,2022-12-13,13,12,2022,2022-12,4,50
I977498,Male,37,Food & Beverage,3,15.69,Credit Card,21/07/2022,Viaport Outlet,47.07,2022-07-21,21,7,2022,2022-07,3,29
I215325,Female,36,Technology,4,4200.0,Cash,12/12/2021,Kanyon,16800.0,2021-12-12,12,12,2021,2021-12,4,49
I265014,Male,27,Toys,5,179.2,Cash,1/7/2021,Kanyon,896.0,2021-07-01,1,7,2021,2021-07,3,26
I129642,Female,40,Cosmetics,3,121.98,Cash,31/08/2022,Metrocity,365.94,2022-08-31,31,8,2022,2022-08,3,35
I814130,Male,46,Toys,2,71.68,Credit Card,12/5/2021,Kanyon,143.36,2021-05-12,12,5,2021,2021-05,2,19
I474829,Female,58,Shoes,5,3000.85,Debit Card,6/3/2022,Forum Istanbul,15004.25,2022-03-06,6,3,2022,2022-03,1,9
I341944,Female,28,Clothing,4,1200.32,Cash,6/10/2022,Metrocity,4801.28,2022-10-06,6,10,2022,2022-10,4,40
I343924,Female,55,Books,4,60.6,Cash,21/05/2021,Metropol AVM,242.4,2021-05-21,21,5,2021,2021-05,2,20
I221589,Female,22,Cosmetics,3,121.98,Credit Card,23/08/2022,Mall of Istanbul,365.94,2022-08-23,23,8,2022,2022-08,3,34
I328138,Male,33,Souvenir,1,11.73,Cash,28/08/2022,Viaport Outlet,11.73,2022-08-28,28,8,2022,2022-08,3,34
I420464,Male,30,Clothing,3,900.24,Credit Card,18/03/2021,Kanyon,2700.7200000000003,2021-03-18,18,3,2021,2021-03,1,11
I277759,Female,66,Technology,4,4200.0,Credit Card,20/07/2021,Kanyon,16800.0,2021-07-20,20,7,2021,2021-07,3,29
I138689,Female,51,Cosmetics,1,40.66,Cash,24/02/2021,Istinye Park,40.66,2021-02-24,24,2,2021,2021-02,1,8
I258403,Female,48,Technology,5,5250.0,Debit Card,1/9/2022,Cevahir AVM,26250.0,2022-09-01,1,9,2022,2022-09,3,35
I294193,Female,24,Food & Beverage,4,20.92,Credit Card,15/06/2022,Emaar Square Mall,83.68,2022-06-15,15,6,2022,2022-06,2,24
I141424,Female,35,Clothing,1,300.08,Cash,26/10/2022,Metrocity,300.08,2022-10-26,26,10,2022,2022-10,4,43
I832990,Female,44,Shoes,1,600.17,Cash,14/01/2021,Metrocity,600.17,2021-01-14,14,1,2021,2021-01,1,2
I149006,Female,59,Shoes,4,2400.68,Credit Card,11/2/2022,Kanyon,9602.72,2022-02-11,11,2,2022,2022-02,1,6
I270354,Female,46,Food & Beverage,5,26.15,Debit Card,4/5/2022,Cevahir AVM,130.75,2022-05-04,4,5,2022,2022-05,2,18
I957610,Male,48,Food & Beverage,2,10.46,Cash,31/03/2022,Zorlu Center,20.92,2022-03-31,31,3,2022,2022-03,1,13
I706842,Male,50,Food & Beverage,1,5.23,Credit Card,5/8/2022,Istinye Park,5.23,2022-08-05,5,8,2022,2022-08,3,31
I158285,Male,24,Food & Beverage,2,10.46,Cash,24/08/2022,Kanyon,20.92,2022-08-24,24,8,2022,2022-08,3,34
I493161,Male,35,Cosmetics,2,81.32,Debit Card,4/9/2021,Metropol AVM,162.64,2021-09-04,4,9,2021,2021-09,3,35
I317357,Male,52,Cosmetics,5,203.3,Credit Card,21/07/2021,Metrocity,1016.5,2021-07-21,21,7,2021,2021-07,3,29
I271795,Female,20,Shoes,2,1200.34,Cash,27/10/2021,Mall of Istanbul,2400.68,2021-10-27,27,10,2021,2021-10,4,43
I473533,Male,32,Shoes,1,600.17,Cash,20/01/2021,Cevahir AVM,600.17,2021-01-20,20,1,2021,2021-01,1,3
I236858,Female,64,Clothing,1,300.08,Cash,11/4/2021,Mall of Istanbul,300.08,2021-04-11,11,4,2021,2021-04,2,14
I168341,Male,55,Shoes,2,1200.34,Credit Card,8/8/2022,Metropol AVM,2400.68,2022-08-08,8,8,2022,2022-08,3,32
I330491,Female,27,Technology,2,2100.0,Cash,26/11/2022,Zorlu Center,4200.0,2022-11-26,26,11,2022,2022-11,4,47
I444459,Female,56,Clothing,3,900.24,Debit Card,5/4/2021,Mall of Istanbul,2700.7200000000003,2021-04-05,5,4,2021,2021-04,2,14
I600635,Male,35,Clothing,1,300.08,Cash,5/2/2023,Kanyon,300.08,2023-02-05,5,2,2023,2023-02,1,5
I211129,Female,31,Technology,5,5250.0,Cash,1/4/2022,Kanyon,26250.0,2022-04-01,1,4,2022,2022-04,2,13
I164872,Male,20,Toys,2,71.68,Debit Card,2/2/2021,Metrocity,143.36,2021-02-02,2,2,2021,2021-02,1,5
I151794,Female,45,Cosmetics,1,40.66,Credit Card,30/10/2021,Forum Istanbul,40.66,2021-10-30,30,10,2021,2021-10,4,43
I147299,Female,51,Clothing,3,900.24,Cash,26/12/2021,Metrocity,2700.7200000000003,2021-12-26,26,12,2021,2021-12,4,51
I729770,Female,41,Technology,5,5250.0,Cash,26/03/2022,Kanyon,26250.0,2022-03-26,26,3,2022,2022-03,1,12
I284204,Female,19,Clothing,5,1500.4,Debit Card,20/08/2022,Metropol AVM,7502.0,2022-08-20,20,8,2022,2022-08,3,33
I111345,Male,46,Shoes,4,2400.68,Debit Card,19/01/2021,Metrocity,9602.72,2021-01-19,19,1,2021,2021-01,1,3
I244402,Male,68,Clothing,3,900.24,Credit Card,11/11/2021,Metropol AVM,2700.7200000000003,2021-11-11,11,11,2021,2021-11,4,45
I115024,Female,20,Books,1,15.15,Cash,31/12/2021,Kanyon,15.15,2021-12-31,31,12,2021,2021-12,4,52
I321177,Female,24,Technology,3,3150.0,Credit Card,16/05/2022,Kanyon,9450.0,2022-05-16,16,5,2022,2022-05,2,20
I101325,Female,27,Souvenir,1,11.73,Cash,25/02/2021,Mall of Istanbul,11.73,2021-02-25,25,2,2021,2021-02,1,8
I256971,Female,61,Cosmetics,1,40.66,Credit Card,12/10/2021,Metrocity,40.66,2021-10-12,12,10,2021,2021-10,4,41
I267111,Male,60,Toys,5,179.2,Cash,26/02/2021,Mall of Istanbul,896.0,2021-02-26,26,2,2021,2021-02,1,8
I164028,Male,61,Cosmetics,5,203.3,Debit Card,25/01/2023,Istinye Park,1016.5,2023-01-25,25,1,2023,2023-01,1,4
I150004,Female,26,Cosmetics,3,121.98,Debit Card,16/09/2022,Viaport Outlet,365.94,2022-09-16,16,9,2022,2022-09,3,37
I573006,Female,56,Clothing,3,900.24,Cash,7/12/2021,Mall of Istanbul,2700.7200000000003,2021-12-07,7,12,2021,2021-12,4,49
I391266,Female,26,Food & Beverage,5,26.15,Cash,20/01/2023,Mall of Istanbul,130.75,2023-01-20,20,1,2023,2023-01,1,3
I154841,Female,24,Souvenir,2,23.46,Credit Card,19/08/2022,Mall of Istanbul,46.92,2022-08-19,19,8,2022,2022-08,3,33
I263215,Female,23,Clothing,5,1500.4,Cash,19/02/2022,Viaport Outlet,7502.0,2022-02-19,19,2,2022,2022-02,1,7
I499270,Female,39,Clothing,4,1200.32,Cash,24/08/2021,Emaar Square Mall,4801.28,2021-08-24,24,8,2021,2021-08,3,34
I561640,Male,56,Food & Beverage,4,20.92,Cash,4/12/2022,Cevahir AVM,83.68,2022-12-04,4,12,2022,2022-12,4,48
I947461,Female,63,Souvenir,3,35.19,Cash,23/12/2022,Mall of Istanbul,105.57,2022-12-23,23,12,2022,2022-12,4,51
I760505,Male,52,Food & Beverage,1,5.23,Debit Card,25/01/2022,Zorlu Center,5.23,2022-01-25,25,1,2022,2022-01,1,4
I813483,Female,44,Clothing,3,900.24,Cash,10/6/2021,Kanyon,2700.7200000000003,2021-06-10,10,6,2021,2021-06,2,23
I141855,Female,30,Toys,1,35.84,Credit Card,25/09/2022,Cevahir AVM,35.84,2022-09-25,25,9,2022,2022-09,3,38
I170561,Female,39,Shoes,1,600.17,Debit Card,31/07/2022,Kanyon,600.17,2022-07-31,31,7,2022,2022-07,3,30
I603317,Male,28,Technology,2,2100.0,Cash,13/11/2022,Cevahir AVM,4200.0,2022-11-13,13,11,2022,2022-11,4,45
I244572,Male,31,Books,2,30.3,Cash,11/1/2023,Kanyon,60.6,2023-01-11,11,1,2023,2023-01,1,2
I273809,Male,18,Technology,4,4200.0,Debit Card,15/06/2021,Kanyon,16800.0,2021-06-15,15,6,2021,2021-06,2,24
I279716,Female,55,Clothing,2,600.16,Cash,12/9/2021,Kanyon,1200.32,2021-09-12,12,9,2021,2021-09,3,36
I285543,Female,34,Shoes,5,3000.85,Cash,15/01/2021,Emaar Square Mall,15004.25,2021-01-15,15,1,2021,2021-01,1,2
I290173,Female,69,Cosmetics,4,162.64,Debit Card,19/09/2021,Kanyon,650.56,2021-09-19,19,9,2021,2021-09,3,37
I339782,Male,20,Cosmetics,2,81.32,Cash,10/3/2022,Forum Istanbul,162.64,2022-03-10,10,3,2022,2022-03,1,10
I132687,Male,31,Cosmetics,5,203.3,Cash,2/5/2022,Mall of Istanbul,1016.5,2022-05-02,2,5,2022,2022-05,2,18
I228509,Female,20,Clothing,2,600.16,Credit Card,5/7/2022,Mall of Istanbul,1200.32,2022-07-05,5,7,2022,2022-07,3,27
I301998,Female,32,Souvenir,3,35.19,Cash,5/5/2021,Metropol AVM,105.57,2021-05-05,5,5,2021,2021-05,2,18
I189478,Male,55,Clothing,2,600.16,Debit Card,6/7/2022,Emaar Square Mall,1200.32,2022-07-06,6,7,2022,2022-07,3,27
I788026,Female,64,Shoes,4,2400.68,Cash,30/11/2021,Zorlu Center,9602.72,2021-11-30,30,11,2021,2021-11,4,48
I369368,Female,30,Clothing,1,300.08,Credit Card,7/9/2021,Istinye Park,300.08,2021-09-07,7,9,2021,2021-09,3,36
I248806,Male,22,Souvenir,2,23.46,Cash,8/10/2022,Istinye Park,46.92,2022-10-08,8,10,2022,2022-10,4,40
I163490,Female,42,Toys,2,71.68,Cash,7/1/2023,Mall of Istanbul,143.36,2023-01-07,7,1,2023,2023-01,1,1
I903582,Female,31,Food & Beverage,3,15.69,Debit Card,31/03/2021,Kanyon,47.07,2021-03-31,31,3,2021,2021-03,1,13
I158485,Female,42,Toys,2,71.68,Cash,8/1/2021,Kanyon,143.36,2021-01-08,8,1,2021,2021-01,1,1
I308143,Male,18,Souvenir,4,46.92,Cash,19/04/2021,Kanyon,187.68,2021-04-19,19,4,2021,2021-04,2,16
I935149,Female,45,Technology,1,1050.0,Cash,16/09/2022,Kanyon,1050.0,2022-09-16,16,9,2022,2022-09,3,37
I286412,Female,40,Clothing,4,1200.32,Cash,12/2/2023,Istinye Park,4801.28,2023-02-12,12,2,2023,2023-02,1,6
I114082,Male,65,Food & Beverage,3,15.69,Credit Card,20/01/2022,Istinye Park,47.07,2022-01-20,20,1,2022,2022-01,1,3
I284747,Female,40,Clothing,5,1500.4,Cash,8/2/2023,Mall of Istanbul,7502.0,2023-02-08,8,2,2023,2023-02,1,6
I290102,Male,53,Shoes,5,3000.85,Cash,10/12/2021,Metrocity,15004.25,2021-12-10,10,12,2021,2021-12,4,49
I340389,Female,21,Souvenir,1,11.73,Credit Card,21/01/2023,Mall of Istanbul,11.73,2023-01-21,21,1,2023,2023-01,1,3
I164457,Male,29,Clothing,1,300.08,Cash,31/07/2021,Metropol AVM,300.08,2021-07-31,31,7,2021,2021-07,3,30
I809895,Female,20,Clothing,2,600.16,Cash,20/10/2021,Kanyon,1200.32,2021-10-20,20,10,2021,2021-10,4,42
I536524,Female,39,Clothing,4,1200.32,Cash,6/10/2022,Kanyon,4801.28,2022-10-06,6,10,2022,2022-10,4,40
I157554,Female,47,Shoes,2,1200.34,Cash,23/11/2022,Mall of Istanbul,2400.68,2022-11-23,23,11,2022,2022-11,4,47
I133364,Female,62,Souvenir,4,46.92,Cash,30/07/2022,Metrocity,187.68,2022-07-30,30,7,2022,2022-07,3,30
I256004,Female,68,Shoes,5,3000.85,Debit Card,19/04/2022,Metropol AVM,15004.25,2022-04-19,19,4,2022,2022-04,2,16
I102278,Male,24,Clothing,2,600.16,Cash,31/05/2022,Kanyon,1200.32,2022-05-31,31,5,2022,2022-05,2,22
I286131,Male,52,Toys,2,71.68,Credit Card,25/03/2022,Mall of Istanbul,143.36,2022-03-25,25,3,2022,2022-03,1,12
I112775,Male,25,Technology,1,1050.0,Debit Card,25/07/2022,Istinye Park,1050.0,2022-07-25,25,7,2022,2022-07,3,30
I539875,Female,39,Shoes,2,1200.34,Cash,28/01/2022,Viaport Outlet,2400.68,2022-01-28,28,1,2022,2022-01,1,4
I245880,Female,63,Food & Beverage,1,5.23,Cash,27/12/2021,Forum Istanbul,5.23,2021-12-27,27,12,2021,2021-12,4,52
I317454,Female,47,Clothing,3,900.24,Credit Card,30/07/2021,Kanyon,2700.7200000000003,2021-07-30,30,7,2021,2021-07,3,30
I145015,Male,23,Shoes,2,1200.34,Debit Card,23/05/2021,Viaport Outlet,2400.68,2021-05-23,23,5,2021,2021-05,2,20
I410726,Female,41,Shoes,4,2400.68,Credit Card,20/01/2022,Mall of Istanbul,9602.72,2022-01-20,20,1,2022,2022-01,1,3
I280180,Female,27,Clothing,1,300.08,Credit Card,5/10/2021,Metropol AVM,300.08,2021-10-05,5,10,2021,2021-10,4,40
I100547,Male,49,Food & Beverage,1,5.23,Credit Card,7/8/2021,Mall of Istanbul,5.23,2021-08-07,7,8,2021,2021-08,3,31
I242579,Female,49,Souvenir,4,46.92,Cash,20/01/2023,Zorlu Center,187.68,2023-01-20,20,1,2023,2023-01,1,3
I103590,Male,19,Clothing,1,300.08,Credit Card,20/01/2023,Istinye Park,300.08,2023-01-20,20,1,2023,2023-01,1,3
I276228,Male,65,Food & Beverage,2,10.46,Credit Card,10/12/2022,Mall of Istanbul,20.92,2022-12-10,10,12,2022,2022-12,4,49
I274149,Female,68,Clothing,4,1200.32,Cash,15/05/2022,Cevahir AVM,4801.28,2022-05-15,15,5,2022,2022-05,2,19
I222089,Female,36,Clothing,2,600.16,Credit Card,14/02/2022,Mall of Istanbul,1200.32,2022-02-14,14,2,2022,2022-02,1,7
I242942,Female,54,Souvenir,2,23.46,Cash,3/3/2023,Istinye Park,46.92,2023-03-03,3,3,2023,2023-03,1,9
I189619,Male,52,Clothing,4,1200.32,Cash,29/04/2022,Metropol AVM,4801.28,2022-04-29,29,4,2022,2022-04,2,17
I149445,Female,40,Technology,5,5250.0,Credit Card,3/10/2022,Mall of Istanbul,26250.0,2022-10-03,3,10,2022,2022-10,4,40
I134950,Female,59,Food & Beverage,2,10.46,Credit Card,28/06/2021,Mall of Istanbul,20.92,2021-06-28,28,6,2021,2021-06,2,26
I637142,Female,58,Food & Beverage,2,10.46,Debit Card,16/08/2022,Mall of Istanbul,20.92,2022-08-16,16,8,2022,2022-08,3,33
I103065,Male,31,Books,2,30.3,Credit Card,14/03/2021,Mall of Istanbul,60.6,2021-03-14,14,3,2021,2021-03,1,10
I860085,Male,24,Cosmetics,2,81.32,Cash,23/07/2022,Metrocity,162.64,2022-07-23,23,7,2022,2022-07,3,29
I328287,Female,41,Toys,1,35.84,Credit Card,27/02/2023,Viaport Outlet,35.84,2023-02-27,27,2,2023,2023-02,1,9
I275678,Male,56,Shoes,1,600.17,Cash,17/08/2022,Forum Istanbul,600.17,2022-08-17,17,8,2022,2022-08,3,33
I195528,Female,30,Food & Beverage,2,10.46,Cash,5/2/2021,Metropol AVM,20.92,2021-02-05,5,2,2021,2021-02,1,5
I306940,Female,37,Clothing,3,900.24,Debit Card,19/12/2022,Metrocity,2700.7200000000003,2022-12-19,19,12,2022,2022-12,4,51
I164227,Male,46,Clothing,4,1200.32,Cash,15/05/2022,Istinye Park,4801.28,2022-05-15,15,5,2022,2022-05,2,19
I640737,Male,60,Cosmetics,3,121.98,Cash,7/7/2021,Metrocity,365.94,2021-07-07,7,7,2021,2021-07,3,27
